id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review
1052416664657266848,283057520,Manhattan,Lower East Side,Private room,150.0,30,0,
1064301195892473870,107434423,Manhattan,West Village,Entire home/apt,440.0,31,0,
39579710,291033670,Brooklyn,Bedford-Stuyvesant,Shared room,39.0,30,3,2024-05-01
846162633162567022,107434423,Manhattan,West Village,Entire home/apt,451.0,31,0,
9768199,50366054,Manhattan,Upper West Side,Entire home/apt,130.0,30,65,2024-07-15
806208895285808888,107434423,Manhattan,West Village,Entire home/apt,411.0,31,0,
889164550955752172,336658365,Manhattan,Chinatown,Shared room,48.0,30,1,2024-02-01
49701947,381698920,Manhattan,Hell's Kitchen,Private room,193.0,2,23,2024-09-02
880704288932050723,20692936,Manhattan,Harlem,Private room,90.0,5,17,2024-08-20
1068537120626967876,10825742,Brooklyn,Crown Heights,Private room,47.0,30,3,2024-08-17
21245112,8896831,Queens,Long Island City,Private room,151.0,30,79,2023-09-12
32856048,107434423,Manhattan,West Village,Entire home/apt,405.0,31,0,
18071399,113534805,Manhattan,Chelsea,Private room,2857.0,30,0,
640577546507007342,447621395,Manhattan,Harlem,Private room,51.0,30,38,2024-08-12
995750644114020164,391579286,Brooklyn,Crown Heights,Entire home/apt,250.0,2,20,2024-08-09
1050120817675342661,31614357,Brooklyn,Crown Heights,Entire home/apt,325.0,30,0,
1134026523758248331,450580547,Manhattan,Upper West Side,Entire home/apt,200.0,30,0,
1140598072502860150,573476316,Brooklyn,Crown Heights,Entire home/apt,389.0,3,7,2024-08-10
895570784789626480,133634083,Manhattan,Harlem,Entire home/apt,150.0,30,16,2023-08-20
40649368,4715469,Brooklyn,Gowanus,Entire home/apt,250.0,30,49,2023-11-27
989334284225183279,4134337,Brooklyn,Williamsburg,Entire home/apt,152.0,30,5,2024-08-13
15802947,102251846,Brooklyn,Boerum Hill,Entire home/apt,250.0,30,301,2023-10-31
742224718214908605,12655794,Manhattan,Upper West Side,Entire home/apt,250.0,30,0,
1161772077761598439,291033670,Brooklyn,Bedford-Stuyvesant,Private room,58.0,30,1,2024-08-04
834851134880546221,502782762,Brooklyn,Crown Heights,Private room,135.0,2,48,2024-08-18
21091355,83786650,Manhattan,Upper East Side,Entire home/apt,100.0,60,8,2022-10-24
1086394938118286708,303156931,Manhattan,Morningside Heights,Private room,72.0,30,1,2024-04-23
1025424243538257181,482505101,Queens,Sunnyside,Entire home/apt,218.0,1,6,2024-08-17
26357377,120762452,Manhattan,Murray Hill,Entire home/apt,180.0,30,7,2024-08-01
38932995,67491414,Brooklyn,Crown Heights,Private room,51.0,30,2,2024-08-17
3924325,20278196,Brooklyn,East Flatbush,Private room,79.0,30,7,2020-11-01
793985712623454837,471548508,Manhattan,Harlem,Private room,81.0,30,18,2023-12-01
38289819,291033670,Brooklyn,Bedford-Stuyvesant,Shared room,33.0,30,4,2022-07-31
744278325880141330,476278288,Manhattan,East Harlem,Entire home/apt,120.0,30,9,2024-05-15
1029201521330186475,21783543,Brooklyn,Vinegar Hill,Entire home/apt,180.0,30,0,
1130554947591177764,3291898,Manhattan,East Harlem,Entire home/apt,240.0,30,1,2024-07-04
39732310,305387117,Queens,Long Island City,Entire home/apt,247.0,5,19,2024-09-01
50338291,381698920,Manhattan,Hell's Kitchen,Private room,300.0,2,22,2024-09-01
953749709894151239,418559327,Brooklyn,Crown Heights,Entire home/apt,316.0,30,3,2024-07-28
1216120758101271029,163173714,Manhattan,East Village,Entire home/apt,144.0,90,0,
